sim_no,UHI_d,asphalt_ratio,park_grass_ratio,parcel_grass_ratio,podium_grass_ratio,GnPR,TCR,greenroof_ratio,SCR,parcel_fp_ratio,podium_fp_ratio,tower_GFA,podium_GFA,total_GFA,avg_BH,avg_GPR,parcelArea,parkLocation,parkRadius,roadDensity,bldDensity,podiumDensity,treeDensity,roofType
8714,0.27508,0.048316,0.093059,0.469035,0.219155,0.781249,0.066992,0.15231,0.18856,0.03799,0.018125,1711500,306112.7076,2017600,79.8,2.141766,6,72,100,0.3,9,0.4,9,1
8715,0.233916,0.134203,0.034899,0.418759,0.16974,0.623398,0,0.200988,0.28381,0.053808,0.041411,1039900,435881.6546,1475800,28,1.437698,2,0,150,0.3,9,0.4,9,1
8716,0.261221,0.09955,0.076933,0.450948,0.146379,0.67426,0,0.189267,0.263113,0.056221,0.036923,1476700,392841.4769,1869500,41.5,1.881777,3,0,150,0.3,9,0.4,9,1
8717,0.329292,0.044727,0.079221,0.431147,0.165917,0.676285,0.053702,0.238625,0.319351,0.047106,0.040363,2020700,535937.454,2556600,59.2,2.512116,4,0,150,0.3,9,0.4,9,1
8718,0.307283,0.058153,0.032606,0.487701,0.17674,0.697047,0.039731,0.211685,0.277927,0.050657,0.033121,2035900,448727.8982,2484600,61,2.330045,5,0,150,0.3,9,0.4,9,1
8719,0.292363,0.048316,0.079221,0.460493,0.217903,0.757617,0.054582,0.169492,0.218642,0.037474,0.024575,1950700,361925.2876,2312600,76.2,2.303887,6,0,150,0.3,9,0.4,9,1
8720,0.228116,0.134203,0.043345,0.412396,0.182747,0.638488,0,0.188183,0.266434,0.051725,0.039126,980202.8509,405817.3893,1386000,28.5,1.354927,2,42,150,0.3,9,0.4,9,1
8721,0.2704,0.09955,0.079094,0.447317,0.145987,0.672398,0,0.191481,0.264625,0.057691,0.036572,1600800,393748.8473,1994500,45.5,2.056998,3,42,150,0.3,9,0.4,9,1
8722,0.324201,0.044727,0.101173,0.406098,0.166243,0.673514,0.060948,0.244551,0.318968,0.050203,0.037209,1851500,535184.3203,2386700,56.8,2.354183,4,42,150,0.3,9,0.4,9,1
8723,0.284292,0.058153,0.124679,0.461582,0.142286,0.728547,0.057816,0.188926,0.237686,0.051683,0.02438,1957600,373552.2146,2331200,62.3,2.435038,5,42,150,0.3,9,0.4,9,1
8724,0.24476,0.048316,0.126932,0.482967,0.213458,0.823357,0.058683,0.115621,0.141032,0.036443,0.012706,1639400,212365.5172,1851800,86.2,2.005258,6,42,150,0.3,9,0.4,9,1
8725,0.232432,0.134203,0.039873,0.408567,0.181796,0.630236,0,0.197417,0.273703,0.052686,0.038143,1008200,422668.5688,1430900,29,1.36052,2,72,150,0.3,9,0.4,9,1
8726,0.248002,0.09955,0.061917,0.468695,0.164324,0.694936,0,0.175142,0.235887,0.060445,0.030373,1444600,335291.6586,1779900,42,1.808227,3,72,150,0.3,9,0.4,9,1
8727,0.32492,0.044727,0.040743,0.44786,0.176118,0.664721,0.044481,0.251932,0.329172,0.056116,0.03862,2016700,541841.2164,2558500,54.3,2.303845,4,72,150,0.3,9,0.4,9,1
8728,0.297386,0.058153,0.093067,0.456314,0.167294,0.716675,0.047015,0.197993,0.252366,0.047791,0.027187,1834300,409989.2829,2244300,64.4,2.197447,5,72,150,0.3,9,0.4,9,1
8729,0.276073,0.048316,0.093059,0.469035,0.218162,0.780256,0.066929,0.153303,0.189553,0.03799,0.018125,1711500,308407.6029,2019900,79.8,2.144124,6,72,150,0.3,9,0.4,9,1
8730,0.218059,0.134203,0.07787,0.397157,0.168422,0.643449,0,0.182967,0.261728,0.047107,0.03938,917575.0334,405025.4502,1322600,25.9,1.375594,2,0,200,0.3,9,0.4,9,1
8731,0.261221,0.09955,0.076933,0.450948,0.146379,0.67426,0,0.189267,0.263113,0.056221,0.036923,1476700,392841.4769,1869500,41.5,1.881777,3,0,200,0.3,9,0.4,9,1
8732,0.329178,0.044727,0.079221,0.431864,0.165917,0.677002,0.05392,0.237908,0.318634,0.046389,0.040363,2012500,535937.454,2548400,59.4,2.501168,4,0,200,0.3,9,0.4,9,1
8733,0.287808,0.058153,0.075079,0.512229,0.140617,0.727925,0.055108,0.186742,0.241116,0.050636,0.027187,1955900,377411.1123,2333300,63,2.277139,5,0,200,0.3,9,0.4,9,1
8734,0.292363,0.048316,0.079221,0.460493,0.217903,0.757617,0.054442,0.169492,0.218642,0.037474,0.024575,1950700,361925.2876,2312600,76.2,2.303887,6,0,200,0.3,9,0.4,9,1
